,Country,Ground.Truth.Internet.GG,Jun_Internet_online_model,Sep_Internet_online_model,Oct_Internet_online_model,Nov_Internet_online_model,Jun_Internet_online_offline_model,Sep_Internet_online_offline_model,Oct_Internet_online_offline_model,Nov_Internet_online_offline_model,Internet.Offline.model.prediction,Mobile_GG,Jun_Mobile_online_model,Sep_Mobile_online_model,Oct_Mobile_online_model,Nov_Mobile_online_model,Jun_Mobile_online_offline_model,Sep_Mobile_online_offline_model,Oct_Mobile_online_offline_model,Nov_Mobile_online_offline_model,Mobile.Offline.model.prediction,Sep_ Jun_ Internet_online_model perc_change _,Oct_ Sep_ Internet_online_model perc_change _,Nov_ Oct_ Internet_online_model perc_change _,Sep_ Jun_ Internet_online_offline_model perc_change _,Oct_ Sep_ Internet_online_offline_model perc_change _,Nov_ Oct_ Internet_online_offline_model perc_change _,Sep_ Jun_ Mobile_online_model perc_change _,Oct_ Sep_ Mobile_online_model perc_change _,Nov_ Oct_ Mobile_online_model perc_change _,Sep_ Jun_ Mobile_online_offline_model perc_change _,Oct_ Sep_ Mobile_online_offline_model perc_change _,Nov_ Oct_ Mobile_online_offline_model perc_change _,Numeric Country
11,AZE,NA,0.753,0.769,0.771,0.757,0.681,0.701,0.703,0.685,0.988,NA,0.770,0.773,0.762,0.782,NA,NA,NA,NA,NA,2.028,0.251,-1.805,2.929,0.360,-2.581,0.374,-1.531,2.672,NA,NA,NA,031
12,BHR,1,0.849,0.845,0.863,0.863,NA,NA,NA,NA,0.947,NA,0.920,0.919,0.924,0.937,0.813,0.813,0.819,0.838,NA,-0.430,2.098,0.000,NA,NA,NA,-0.063,0.524,1.390,-0.101,0.839,2.220,048
13,BGD,0.622,0.702,0.702,0.716,0.706,0.658,0.658,0.676,0.664,0.694,0.62,0.693,0.684,0.717,0.700,0.734,0.713,0.676,0.705,0.653,0.000,1.943,-1.304,0.000,2.707,-1.803,-1.378,4.837,-2.366,-2.863,-5.224,4.274,050
14,BRB,NA,0.986,0.986,0.986,0.986,0.972,0.972,0.972,0.972,1,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,052
15,BLR,0.925,0.986,0.986,0.986,0.986,0.974,0.974,0.974,0.974,0.974,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,112
16,BEL,0.983,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.989,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,056
17,BLZ,NA,0.986,0.986,0.986,0.986,0.968,0.968,0.968,0.968,0.916,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,084
18,BEN,NA,0.741,0.750,0.751,0.749,1.000,1.000,1.000,1.000,0.691,NA,0.792,0.814,0.814,0.814,0.882,0.920,0.923,0.919,0.864,1.249,0.103,-0.251,0.000,0.000,0.000,2.776,0.000,0.000,4.350,0.295,-0.359,204
19,BTN,NA,0.914,0.947,0.924,0.955,1.000,1.000,1.000,1.000,0.795,NA,0.970,0.958,0.968,0.972,NA,NA,NA,NA,NA,3.639,-2.426,3.390,0.000,0.000,0.000,-1.302,1.037,0.470,NA,NA,NA,064
21,BIH,NA,0.931,0.926,0.932,0.932,0.906,0.899,0.907,0.907,0.916,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,-0.564,0.613,0.061,-0.756,0.824,0.081,0.000,0.000,0.000,NA,NA,NA,070
